,Unnamed: 0,time,x,y,handlabeller_final,source,velocity,unique_saccade_number,norm_time,event_number,start_time,end_time
0,116388,17324,23.5578149771,21.3384067557,2,./gazecom_small/all_features\beach\JSH_beach.arff,20.0774314477,69,0,6,4302,4307
1,116389,17328,23.882513253899997,21.3269468165,2,./gazecom_small/all_features\beach\JSH_beach.arff,81.22499293359999,69,4,6,4302,4307
2,116390,17332,24.5777495642,21.3269468165,2,./gazecom_small/all_features\beach\JSH_beach.arff,173.80907758360001,69,8,6,4302,4307
3,116391,17336,25.3684853678,21.304026938099998,2,./gazecom_small/all_features\beach\JSH_beach.arff,197.7668444382,69,12,6,4302,4307
4,116392,17340,25.441064982600004,21.5981653771,2,./gazecom_small/all_features\beach\JSH_beach.arff,75.7402660414,69,16,6,4302,4307
5,116393,17344,25.463984860900002,21.5981653771,2,./gazecom_small/all_features\beach\JSH_beach.arff,5.729969590700001,69,20,6,4302,4307
6,123106,4128,17.3809077584,13.774846896,2,./gazecom_small/all_features\beach\KKB_beach.arff,192.33597926009998,73,0,0,1002,1007
7,123107,4132,18.7904802777,14.0804452741,2,./gazecom_small/all_features\beach\KKB_beach.arff,360.5797283794,73,4,0,1002,1007
8,123108,4136,20.3834118239,14.256164341600002,2,./gazecom_small/all_features\beach\KKB_beach.arff,400.64711373910006,73,8,0,1002,1007
9,123109,4140,20.5820507697,14.290544159100001,2,./gazecom_small/all_features\beach\KKB_beach.arff,50.3981385337,73,12,0,1002,1007
10,123110,4144,20.666090323699997,14.2943641389,2,./gazecom_small/all_features\beach\KKB_beach.arff,21.0316623836,73,16,0,1002,1007
11,123111,4148,20.662270344,14.2943641389,2,./gazecom_small/all_features\beach\KKB_beach.arff,0.9549949318,73,20,0,1002,1007
